timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1784664070.573000,-5.52,15.00,9.99,-10.60,15.73,-1.41,-2.48,-48.64,4.54,-5.99,7.85,7.50,12.52,-25.48,-12.30,13.01
1784664070.573000,-123.53,24.81,-3.41,-31.68,0.93,7.02,-16.97,-49.13,-7.61,-3.44,7.39,-6.74,-0.27,-28.49,-16.54,-23.26
1784664070.577000,-168.80,19.16,-5.60,-41.55,-7.98,8.92,-22.17,-9.80,-15.47,12.50,8.68,3.48,-1.48,-9.51,-19.80,11.72
1784664070.577000,-69.15,0.93,6.89,-33.64,-1.12,1.44,-10.03,43.91,-9.85,27.18,10.19,31.95,10.54,18.68,-20.39,75.60
1784664070.686000,109.38,-12.56,24.33,-15.53,14.89,-6.98,10.94,77.69,4.48,25.11,10.22,55.23,24.28,37.03,-19.07,93.40
1784664070.686000,209.32,-6.93,35.59,-3.23,24.03,-6.05,21.98,77.78,13.63,6.43,8.55,56.11,26.75,37.38,-17.97,38.55
1784664070.687000,139.25,13.76,36.68,-5.57,17.39,5.14,12.85,56.25,8.85,-12.32,6.97,37.24,16.49,26.26,-18.44,-38.79
1784664070.687000,-17.70,30.07,31.32,-14.88,2.74,16.50,-5.93,33.52,-3.87,-14.90,7.51,16.47,5.10,15.27,-20.14,-65.37
1784664070.741000,-86.89,27.56,26.12,-14.49,-3.88,17.61,-13.45,18.20,-10.36,-2.20,10.11,9.47,4.21,8.92,-21.84,-24.51
1784664070.741000,0.01,12.69,22.94,1.86,3.56,9.32,-2.04,2.37,-4.47,9.78,12.77,13.68,12.17,1.71,-22.89,28.79
1784664070.744000,133.26,4.58,16.81,20.87,15.03,2.44,14.61,-22.26,5.69,8.65,13.41,13.23,16.92,-11.87,-23.65,34.74
1784664070.744000,175.04,12.39,5.54,25.01,18.33,4.58,19.69,-46.88,9.30,-1.70,11.31,1.65,11.66,-26.48,-24.49,-4.77
1784664070.748000,128.72,26.63,-2.74,14.06,13.96,11.86,13.65,-53.60,5.90,-8.85,7.23,-9.26,2.62,-30.64,-25.26,-39.43
1784664070.748000,106.51,33.73,0.80,3.07,11.40,15.36,9.48,-40.30,2.98,-7.61,2.78,-7.22,-0.29,-21.79,-25.45,-36.58
1784664070.753000,174.99,32.13,11.93,0.69,14.47,12.34,13.33,-25.42,3.98,-3.22,-0.29,3.44,4.06,-9.57,-24.54,-11.89
1784664070.753000,291.81,30.62,16.33,-0.77,16.86,8.21,19.16,-25.86,4.19,-1.76,-0.74,8.48,8.21,-3.49,-22.39,2.56
1784664070.803000,364.79,34.39,6.78,-11.82,12.00,8.48,19.91,-38.26,-1.56,-3.49,1.58,3.19,6.75,-2.74,-19.66,1.93
1784664070.803000,338.89,37.79,-6.85,-28.82,3.00,11.41,15.89,-44.61,-10.33,-5.58,5.41,-1.14,3.32,0.46,-17.38,8.46
1784664070.804000,240.63,32.78,-8.65,-35.92,-0.50,10.75,12.16,-33.14,-13.15,-6.17,8.40,7.27,5.24,9.07,-16.01,31.26
1784664070.804000,138.30,21.75,3.51,-24.23,5.31,5.14,11.23,-12.38,-6.12,-4.45,8.72,22.73,12.82,15.59,-15.30,45.11
1784664070.808000,59.99,16.30,14.76,-4.28,13.10,0.86,9.29,-1.23,3.71,0.64,6.82,27.49,18.16,11.30,-15.23,22.85
